# Ntotal galaxy=219566 in sky area 2.0deg^2
# z_low   z_up   N(z)_ratio   N_gal
0.00 0.20 0.0507 11133
0.20 0.40 0.1303 28599
0.40 0.60 0.1199 26320
0.60 0.80 0.1442 31661
0.80 1.00 0.1512 33200
1.00 1.20 0.1187 26053
1.20 1.40 0.0694 15230
1.40 1.60 0.0585 12840
1.60 1.80 0.0303 6661
1.80 2.00 0.0221 4852
2.00 2.20 0.0272 5979
2.20 2.40 0.0142 3124
2.40 2.60 0.0169 3711
2.60 2.80 0.0116 2537
2.80 3.00 0.0100 2201
3.00 3.20 0.0084 1848
3.20 3.40 0.0063 1375
3.40 3.60 0.0036 786
3.60 3.80 0.0019 421
3.80 4.00 0.0017 377
